feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,n
"(2, 20, 21, 24, 32, 33, 34, 35, 36, 37, 44, 46, 47, 49, 51, 58, 65, 67, 69, 70, 72, 73, 76, 77)",[-0.38817362 -0.39125632 -0.38212256 -0.40947541 -0.39977846],0.3941612731757599,"('cm_angle.angle.mean', 'ela_conv.conv_prob', 'ela_conv.lin_prob', 'ela_curv.grad_norm.min', 'ela_curv.hessian_cond.nas', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.cond', 'ic.h.max', 'ic.eps.s', 'ic.eps.ratio', 'ic.m0', 'nbc.nn_nb.cor', 'nbc.dist_ratio.coeff_var')",0.012264896452730987,0.0095425061190683,0.004771253059534149,24
"(2, 20, 21, 24, 32, 33, 34, 35, 36, 37, 44, 46, 47, 49, 51, 58, 65, 67, 69, 70, 72, 73, 74, 76, 77)",[-0.38971586 -0.38959492 -0.37929136 -0.41182117 -0.39856621],0.3937979034984211,"('cm_angle.angle.mean', 'ela_conv.conv_prob', 'ela_conv.lin_prob', 'ela_curv.grad_norm.min', 'ela_curv.hessian_cond.nas', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.cond', 'ic.h.max', 'ic.eps.s', 'ic.eps.ratio', 'ic.m0', 'nbc.nn_nb.sd_ratio', 'nbc.nn_nb.cor', 'nbc.dist_ratio.coeff_var')",0.013989525776099507,0.010884326323975468,0.005442163161987734,25
"(2, 20, 21, 23, 24, 32, 33, 34, 35, 36, 37, 44, 46, 47, 49, 51, 58, 65, 67, 69, 70, 72, 73, 74, 76, 77)",[-0.38938065 -0.38989674 -0.37956932 -0.40968098 -0.3988057 ],0.39346667849140887,"('cm_angle.angle.mean', 'ela_conv.conv_prob', 'ela_conv.lin_prob', 'ela_conv.lin_dev.abs', 'ela_curv.grad_norm.min', 'ela_curv.hessian_cond.nas', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.cond', 'ic.h.max', 'ic.eps.s', 'ic.eps.ratio', 'ic.m0', 'nbc.nn_nb.sd_ratio', 'nbc.nn_nb.cor', 'nbc.dist_ratio.coeff_var')",0.013031422546887425,0.01013888946173277,0.005069444730866385,26
"(2, 20, 21, 23, 24, 25, 32, 33, 34, 35, 36, 37, 44, 46, 47, 49, 51, 58, 65, 67, 69, 70, 72, 73, 74, 76, 77)",[-0.38532873 -0.38668742 -0.37707908 -0.41409284 -0.39862034],0.3923616813651607,"('cm_angle.angle.mean', 'ela_conv.conv_prob', 'ela_conv.lin_prob', 'ela_conv.lin_dev.abs', 'ela_curv.grad_norm.min', 'ela_curv.grad_norm.lq', 'ela_curv.hessian_cond.nas', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.cond', 'ic.h.max', 'ic.eps.s', 'ic.eps.ratio', 'ic.m0', 'nbc.nn_nb.sd_ratio', 'nbc.nn_nb.cor', 'nbc.dist_ratio.coeff_var')",0.016526177435659022,0.01285792749350687,0.006428963746753435,27
"(2, 20, 21, 23, 24, 25, 27, 32, 33, 34, 35, 36, 37, 44, 46, 47, 49, 51, 58, 65, 67, 69, 70, 72, 73, 74, 76, 77)",[-0.38349889 -0.38649766 -0.37562146 -0.41300111 -0.3977833 ],0.39128048723873704,"('cm_angle.angle.mean', 'ela_conv.conv_prob', 'ela_conv.lin_prob', 'ela_conv.lin_dev.abs', 'ela_curv.grad_norm.min', 'ela_curv.grad_norm.lq', 'ela_curv.grad_norm.med', 'ela_curv.hessian_cond.nas', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.cond', 'ic.h.max', 'ic.eps.s', 'ic.eps.ratio', 'ic.m0', 'nbc.nn_nb.sd_ratio', 'nbc.nn_nb.cor', 'nbc.dist_ratio.coeff_var')",0.016686084158249556,0.012982340356239238,0.006491170178119619,28
"(2, 14, 20, 21, 23, 24, 25, 27, 32, 33, 34, 35, 36, 37, 44, 46, 47, 49, 51, 58, 65, 67, 69, 70, 72, 73, 74, 76, 77)",[-0.3834435  -0.38702356 -0.37512814 -0.41262952 -0.3977104 ],0.3911870258301223,"('cm_angle.angle.mean', 'disp.diff_mean_10', 'ela_conv.conv_prob', 'ela_conv.lin_prob', 'ela_conv.lin_dev.abs', 'ela_curv.grad_norm.min', 'ela_curv.grad_norm.lq', 'ela_curv.grad_norm.med', 'ela_curv.hessian_cond.nas', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.cond', 'ic.h.max', 'ic.eps.s', 'ic.eps.ratio', 'ic.m0', 'nbc.nn_nb.sd_ratio', 'nbc.nn_nb.cor', 'nbc.dist_ratio.coeff_var')",0.016634658661800965,0.012942329572909101,0.00647116478645455,29
"(2, 14, 20, 21, 22, 23, 24, 25, 27, 32, 33, 34, 35, 36, 37, 44, 46, 47, 49, 51, 58, 65, 67, 69, 70, 72, 73, 74, 76, 77)",[-0.38338702 -0.38698003 -0.37532609 -0.41230177 -0.39775125],0.39114922954415665,"('cm_angle.angle.mean', 'disp.diff_mean_10', 'ela_conv.conv_prob', 'ela_conv.lin_prob', 'ela_conv.lin_dev.orig', 'ela_conv.lin_dev.abs', 'ela_curv.grad_norm.min', 'ela_curv.grad_norm.lq', 'ela_curv.grad_norm.med', 'ela_curv.hessian_cond.nas', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.cond', 'ic.h.max', 'ic.eps.s', 'ic.eps.ratio', 'ic.m0', 'nbc.nn_nb.sd_ratio', 'nbc.nn_nb.cor', 'nbc.dist_ratio.coeff_var')",0.016449941914331925,0.012798613667943165,0.006399306833971582,30
"(2, 14, 20, 21, 22, 23, 24, 25, 27, 32, 33, 34, 35, 36, 37, 44, 46, 47, 49, 51, 58, 65, 67, 69, 70, 72, 73, 74, 75, 76, 77)",[-0.38568797 -0.38543451 -0.37506621 -0.41162381 -0.39789944],0.3911423888636808,"('cm_angle.angle.mean', 'disp.diff_mean_10', 'ela_conv.conv_prob', 'ela_conv.lin_prob', 'ela_conv.lin_dev.orig', 'ela_conv.lin_dev.abs', 'ela_curv.grad_norm.min', 'ela_curv.grad_norm.lq', 'ela_curv.grad_norm.med', 'ela_curv.hessian_cond.nas', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.cond', 'ic.h.max', 'ic.eps.s', 'ic.eps.ratio', 'ic.m0', 'nbc.nn_nb.sd_ratio', 'nbc.nn_nb.mean_ratio', 'nbc.nn_nb.cor', 'nbc.dist_ratio.coeff_var')",0.01611408556231964,0.012537306015933468,0.006268653007966734,31
"(2, 6, 14, 20, 21, 22, 23, 24, 25, 27, 32, 33, 34, 35, 36, 37, 44, 46, 47, 49, 51, 58, 65, 67, 69, 70, 72, 73, 74, 75, 76, 77)",[-0.38568727 -0.38543689 -0.37506704 -0.41162479 -0.39790153],0.39114350312473367,"('cm_angle.angle.mean', 'disp.ratio_mean_10', 'disp.diff_mean_10', 'ela_conv.conv_prob', 'ela_conv.lin_prob', 'ela_conv.lin_dev.orig', 'ela_conv.lin_dev.abs', 'ela_curv.grad_norm.min', 'ela_curv.grad_norm.lq', 'ela_curv.grad_norm.med', 'ela_curv.hessian_cond.nas', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.cond', 'ic.h.max', 'ic.eps.s', 'ic.eps.ratio', 'ic.m0', 'nbc.nn_nb.sd_ratio', 'nbc.nn_nb.mean_ratio', 'nbc.nn_nb.cor', 'nbc.dist_ratio.coeff_var')",0.01611431380552863,0.012537483596904236,0.006268741798452118,32
"(2, 6, 14, 20, 21, 22, 23, 24, 25, 27, 31, 32, 33, 34, 35, 36, 37, 44, 46, 47, 49, 51, 58, 65, 67, 69, 70, 72, 73, 74, 75, 76, 77)",[-0.385684   -0.38543898 -0.37506677 -0.41165191 -0.39789745],0.39114782161359474,"('cm_angle.angle.mean', 'disp.ratio_mean_10', 'disp.diff_mean_10', 'ela_conv.conv_prob', 'ela_conv.lin_prob', 'ela_conv.lin_dev.orig', 'ela_conv.lin_dev.abs', 'ela_curv.grad_norm.min', 'ela_curv.grad_norm.lq', 'ela_curv.grad_norm.med', 'ela_curv.grad_scale.nas', 'ela_curv.hessian_cond.nas', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.cond', 'ic.h.max', 'ic.eps.s', 'ic.eps.ratio', 'ic.m0', 'nbc.nn_nb.sd_ratio', 'nbc.nn_nb.mean_ratio', 'nbc.nn_nb.cor', 'nbc.dist_ratio.coeff_var')",0.016125350730307915,0.01254607069934313,0.006273035349671564,33
