FID,Z_1,Z_2,ela_conv_conv_prob,ela_curv_grad_norm_min,ela_curv_grad_norm_lq,ela_distr_skewness,ela_distr_number_of_peaks,ela_level_lda_qda_10,ela_level_lda_qda_25,ela_meta_lin_simple_adj_r2,ela_meta_quad_w_interact_adj_r2,ic_eps_max,ic_eps_ratio,nbc_nb_fitness_cor,EMNA,PSO,RandomSearch,EMNA_bin,PSO_bin,RandomSearch_bin
F1_I24,1.8394014812977,0.54688680459421,1,7.55826349069201e-07,4.10240595734164e-08,0.231010083339327,0,0.181025812939993,0.181884587289993,0.671105114513594,1,2.94990518834161e-08,0.0613636363636363,0.439736729130089,0.752247026794805,0.844438081900106,0.380572116425772,1,1,1
F1_I25,2.03346303212351,0.646837833528608,1,9.52496305257078e-07,4.05667980647779e-08,0.242157310932719,0,0.16277423920736,0.25045045045045,0.633685431208572,1,2.48893801368139e-08,0.0454545454545454,0.418089312628394,0.62000033597728,0.702830797528885,0.400645424585404,1,1,1
F1_I26,1.94229621646641,0.654147771898873,1,5.76972492366421e-07,4.96890994808458e-08,0.228868741341331,0,0.0636942675159235,0.211446740858506,0.845073342789138,1,3.29460144678092e-08,0.0659090909090908,0.512328131754935,1.29587156626131,1.09949977172681,0.403360788268004,1,1,1
F1_I27,2.03807510821459,0.48849656151478,1,9.753593583444e-07,4.41245263444747e-08,0.242129550888945,0,0.125619249823071,0.203931203931204,0.787601407814166,1,4.08708069954841e-08,0.0659090909090908,0.504861919749951,1.04440705847384,0.942669744639459,0.400593757668841,1,1,1
F1_I28,2.00178091053409,0.597468724417288,1,9.27699355856332e-07,4.40033016530696e-08,0.241321840427284,0,0.125619249823071,0.179869524697111,0.792609075628828,1,2.34891444761098e-08,0.0499999999999999,0.506740935552431,1.02936609565836,0.964058946700166,0.395837797759003,1,1,1
F1_I29,1.84524623815198,0.778213395299154,1,6.49541446633402e-07,4.12250943758896e-08,0.234002278925953,0,0.110138004246285,0.236486486486487,0.693956789459997,1,3.11828158609993e-08,0.0499999999999999,0.422184708507853,0.821434368624111,0.851135244051154,0.395960875174777,1,1,1
F1_I31,1.74754268203917,0.861268104326265,1,6.72095399627737e-07,4.4650652776919e-08,0.233464406536015,0,0.0754274220583305,0.187551187551187,0.761703833541438,1,2.63556744625202e-08,0.0522727272727272,0.484054775611885,1.0033050586804,0.947825564741805,0.368579040795147,1,1,1
F1_I32,2.01341565791438,0.535339974735639,1,9.0294714145967e-07,4.35155169094568e-08,0.238331806241644,0,0.10828025477707,0.238095238095238,0.802283128382447,1,3.29460144678092e-08,0.059090909090909,0.450368429504811,1.08009227031795,0.959090556281946,0.390656692609999,1,1,1
F1_I33,1.98822232221734,0.441743053032278,1,5.53544624564822e-07,4.49250768222486e-08,0.251764789631291,0.0416666666666666,0.106157112526539,0.218831734960767,0.802445631418302,1,3.67258822556298e-08,0.0727272727272727,0.476700988195638,1.09302424976999,0.980238386948255,0.387349990941515,1,1,1
F1_I34,2.08907494842267,0.623894316081469,1,1.06770368665113e-06,4.17792360882543e-08,0.234726381378526,0,0.114360162130863,0.281604184829991,0.698582295597458,1,2.7891143890943e-08,0.059090909090909,0.439834929388813,0.878665851361363,0.821000212519849,0.389670240535075,1,1,1
F1_I35,2.17813346326472,0.42342120542599,1,5.5086807717879e-07,4.33179204219974e-08,0.217648701068346,0,0.161226114649682,0.271271271271271,0.707375940343198,1,2.63556744625202e-08,0.0636363636363636,0.4268024778339,0.930279266228197,0.911216419118239,0.40538513692023,1,1,1
